userid,conversion
5b440aa0-9a58-4ea2-889a-32a858893713,0
5b440ac8-e809-4220-8ac3-9a557afb9ee5,0
5b440a9a-fb89-47bf-877a-7a2dd04cf010,0
5b440aaa-f246-4cbe-86e1-24fbde142800,0
5b440d10-d062-4b75-9e38-8fb296082ed9,0
5b44120b-4ef1-4bf4-981a-298dd2aa009d,0
5b4418bd-36b4-442e-bff9-8e169b95f735,0
5b441bf3-fd0a-4f02-b4ed-2cc7c0818c5d,0
5b441c09-382b-4e5d-ba64-8e74e6f515e5,0
5b443a02-d938-4662-8b5d-e56f8d2ad517,0
5b444a98-ec74-4940-9527-e7b2b3fb73d4,0
5b444986-824f-488c-9864-7d15413747eb,0
5b4454c5-84f3-4f1f-8cb2-51a438f400f7,0
5b446050-cb46-4d1d-b92e-99a92193dff6,0
5b444c5e-ec19-4202-a522-8cabab6ad1c3,0
5b44811f-2359-48c8-8488-b5bf3c5ef698,0
5b463d9f-5f1f-4eec-9a73-2e92e3616971,0
5b463ecf-b11f-4655-a757-8599a8bf3e0f,0
5b4640b3-a5e3-4f6e-bc5a-6f928a01548e,0
5b464075-6f1a-4ccc-9a58-6b7bf563de9d,0
5b463f09-e031-4337-9583-fbe7216081c8,0
5b46408c-f511-43a4-b067-ee4da8709282,0
5b464284-a8c9-42d3-aef9-da8c6defd331,0
5b464072-00c7-42df-a2c0-8dadff414600,0
5b4642b6-ba76-4893-8a86-2ce1f108f02f,0
5b464426-206a-4d8f-a176-b1206eee65cc,0
5b464235-0a22-4a39-a790-7cd04a8ef346,0
5b464294-a4ca-43c6-9214-44d55597ef54,0
5b46427d-34fd-467a-86d7-54b10637158d,0
5b46450e-7edc-40a8-8d1f-02bef2485085,0
5b4646b7-cacb-4476-b6f2-c4ba50c9feb9,0
5b4644ea-1ec5-41d5-bfdc-e0d8c9233cc5,0
5b464243-3721-477d-abfc-12ea0cecb9f5,0
5b46431d-38e3-4267-bae9-0a0b083227d6,0
5b46487a-8a7d-4c9f-a269-13c797f4aafd,0
5b464a28-1e37-4f2f-a4d9-99d8593aecdc,0
5b464ab7-0c5f-403b-8d7a-cfc591db668a,0
5b464111-5751-4d43-a6c9-711660284942,0
5b464b68-7007-4925-a5de-d5c38c1cb75a,0
5b4648a1-40ce-4ec8-8c5b-ef984d780e8a,0
5b464b58-7bc7-4a03-bba9-9e70a534b996,0
5b46488f-68d3-4dfd-ada0-a1b7db81d7e6,0
5b464e1d-75b0-4208-9706-ecf5a81402dc,0
5b464a18-424f-46a1-a35b-e96003fdd1bc,0
5b465078-2918-47e3-882f-caa3ee693e35,0
5b464c1c-21c2-4b6f-9d3a-e06846cfb7cb,0
5b46495c-f9b1-40ea-8b97-7ed17951f29a,0
5b465132-592c-4c7e-8078-36f934bf79ba,0
5b464c0f-18ca-44bb-ad38-1f79c0445fed,0
5b465095-155f-4219-8e35-1a59ba0f54ad,0
5b465099-4ec6-4e10-a242-4bce19b20538,0
5b46536f-cdc4-4b8c-8433-9992d8a21949,0
5b465430-ed54-4cb9-85b4-e4a455d1c35d,0
5b465360-c70d-4b8c-8a34-66fbe4e62ea6,0
5b465408-c913-498b-b24c-ff2c169edf3d,0
5b465556-4ff9-456d-b8d6-7ed37fa4239a,0
5b4656fd-31f9-4f64-8dd3-131f627a81ce,0
5b4656a6-2007-495b-a882-074b8951ae72,0
5b465724-de37-4a9f-a777-94b20e9da8e5,0
5b4658b6-0123-424b-98ca-aceb669d6773,0
5b465981-73f5-4843-9dee-74e2e16c6546,0
5b465fc4-6aa2-46d5-895c-c75acb7c052b,0
5b465da3-88a0-4afa-b0e7-14600aaa2e03,0
5b465ff5-0e28-445f-b77a-4c02adcdba3b,0
5b466d4d-d012-4b0f-923d-fab9bed4627d,0
5b466c72-5b4e-4019-aa77-a29c01882492,0
5b466bc7-19cc-4c53-9846-b6e682670a6b,0
5b467261-c391-43ad-a6a7-0f9883c04528,0
5b466f1b-610f-446d-bab7-9bbd211d9f8c,0
5b469468-862d-4b6b-aabf-30f57dd84b50,0
5b4699f3-0e55-4db2-b871-c7b7ba74b7c2,0
5b4699a9-d703-4dc2-b2a0-865b3072b8f2,0
5b46a51b-04f2-47f6-b5e8-1ac73a05c259,0
5b46acb0-bb49-45cc-be92-f2f47c5cb2be,0
5b46b231-7fd3-40c9-a7ea-140eb132a77f,0
5b46bfa6-6ae3-4dc9-b8a1-2b800a01b4b9,0
5b46c1a2-ccba-4941-ac40-1f984019c759,0
5b46c87b-4213-449a-822c-b741f23a1c81,0
5b46c9c3-0242-4875-aaf9-833483416ce2,0
5b46d466-5945-4b97-a783-23d68afb0c95,0
5b46e216-d9f0-47c5-9929-ffb48e999071,0
5b46f7c6-ed7c-4348-9a5e-27a884ad0edc,0
5b46fcf9-78b9-4251-b9a0-b3b8da736d54,0
5b474a1c-e935-46d9-8354-73de404bb52f,0
5b474dd8-b9d9-417e-856c-281751a90284,0
5b475007-5e9e-4fde-a7de-5e8e8709d596,0
5b47509f-255c-4b09-962a-6b2ae177cfa5,0
5b474e72-39de-448d-9709-1cf64e820854,0
5b4752b2-64cf-495f-9a1c-1008325a0d91,0
5b47535e-e481-4c38-ae4d-afe1a8169e5a,0
5b47568c-c2b5-417a-b92d-e88fa893c0b5,0
5b475a62-4a9e-47d6-bae3-927bab5cdb2f,0
5b475a31-3f66-49a2-ac51-3420601e29b8,0
5b47589a-50fb-4508-ad7c-1a114a984872,0
5b476092-deb1-43c7-a82b-25dcc98290da,0
5b475f89-0778-449b-bfa3-726c108f32ef,0
5b47636b-58fd-41e4-aca9-1d4400f0ac4b,0
5b476e51-f4fe-48cd-a6c8-deb209c5ec44,0
5b476dc5-f174-40bb-9415-a4adba74fd4e,0
5b47736e-c621-415b-a3da-7c469227faa4,0
5b477570-bdb7-4a79-8184-7247783b368c,0
5b477bcb-a330-4ee5-b8ef-c3a5279f0f44,0
5b477340-0629-43f4-94cb-594ef39a4644,0
5b478511-8f38-4671-87c6-efcbab7f7675,0
5b478554-c13f-4f65-ad43-f071f0fb9178,0
5b478990-cfed-4ba6-a548-3edaaf067ac7,0
5b478988-ed93-4be9-ad48-0dd83c831976,0
5b47891c-070c-4390-96c3-b534263d0603,0
5b47901c-0fe6-425a-897e-eec63e3cc2f3,0
5b478edb-2dab-4f4b-831a-6055e5f83b5a,0
5b4788b9-f132-4bba-9226-b5feeecc23ef,0
5b478825-af7d-4c7c-a2ce-aa702c41ef47,0
5b479e48-5685-40c6-ac62-3f6769ebb203,0
5b47a914-e6d4-4769-8486-2f1a289ae244,0
5b47b063-6a47-45e7-9503-7e821e2022f3,0
5b47b1d6-9992-47ba-a0b9-2451a621c434,0
5b47b431-8a3e-4af2-8404-a0e037576e6d,0
5b47b670-0553-4f0f-a280-ca144df5b862,0
5b47b539-55af-450f-ab7e-8fa85f8deba9,0
5b47b9bc-13a4-4492-94e5-fd7c48219fbb,0
5b47b9ee-b17e-49bf-82a2-4109bdcd2ade,0
5b47bb4c-a365-4152-897e-fed8322aa69c,0
5b47c273-feac-4213-9398-dfb373250624,0
5b47bef6-bd27-4347-a5fd-5be47eb14909,0
5b47ea8b-0a8e-4a7b-9d1a-0b761eee5e94,0
5b47f0a8-ea3a-4dbe-85b4-0198fba9884d,0
5b480af6-e1d6-448a-acf5-3f8f3c7e320c,0
5b4809e2-9638-415b-a080-f2ba56104b65,0
5b480f06-ea6f-413d-a1fa-3e67d3c47a35,0
5b481405-1363-42cc-b24d-6bcf1e60e428,0
5b4813c7-05fc-4ffc-9d29-0307c38c3bd0,0
5b48145c-4fe9-403a-bac3-a65a6132bcab,0
5b4819d1-bf20-425a-bb8b-fb32bc523bdd,0
5b48294c-ab97-46a5-8e73-d57394c339a6,0
5b483858-95f1-4d84-9a7a-85671a7be8a7,0
5b4840f2-e020-4358-9602-3767ec0e1b28,0
5b486448-5ff8-4fbd-8c21-53b32dd2b9ec,0
5b488db3-1048-40ef-99d9-e2656680989b,0
5b489ea5-1550-4edc-8d48-676e5687f8b3,0
5b48a544-2663-4fd8-914f-daa787141a35,0
5b48ad08-e441-4e64-8e86-b5123f6fb434,0
5b48ad34-45bb-4e02-bccd-fa4a915a6915,0
5b487dea-b587-4fc3-9014-980ec6fe0162,0
5b48bbcb-156a-4c94-8cda-b5e44b3b07f9,0
5b48cd0f-5a85-4d5c-9321-ceb812ba2ef8,0
5b48ce27-e6a4-4b8b-8d27-ade1a8d4e5a6,0
5b48d386-80ca-4262-9164-768f4bb653b3,0
5b48d6af-f133-487a-a2f1-2fefab1a2ce7,0
5b48d461-2ae6-4fac-8c9d-27b74ba93cf6,0
5b496d9a-6287-4c75-8195-c2cee34f82ff,0
5b4972a0-eac5-43d8-b358-baca438a508a,0
5b497f45-9e91-4108-a55a-45590210bc95,0
5b499a2a-1b63-4844-8084-83d95b082f03,0
5b49a966-c7c7-485d-b0a9-21ebd6ca8a3a,0
5b49bd11-8160-43d9-8168-b9839547597f,0
5b49cf54-34d5-4706-8a72-db9e2f7ba577,0
5b49d3cc-66b6-496c-9ee4-35ecd72f8ef9,0
5b49e30c-89b3-4757-b6c8-0768d0c88e1f,0
5b4a08b2-ab93-4e39-8a76-067307402c58,0
5b4a509c-c586-4b0a-af7f-fae46bccba78,0
5b4a58c7-61b3-4b09-82d9-19fbd1c61507,0
5b4a5c6e-a70d-4bd4-bd88-5ef981a4ecc5,0
5b4a6611-24d6-48a0-bbe5-468746d993e5,0
5b4a7c91-f1ec-41a2-a3f4-f99f7b0a56a9,0
5b4a8703-61d0-45c0-ac46-dd5f56cb6aa2,0
5b4a8c21-7cf9-4abb-a117-d2d0f390694d,0
5b4a8f3e-3fdc-4854-8e70-7868505b6504,0
5b4a9d88-e5b3-4b07-9aa6-4f1b99484dcf,0
5b4ab0ee-20b4-4f2e-a3fb-fc2f4dfd410d,0
5b4ab8f3-e345-4f6e-b94a-f3cebad97528,0
5b4abb32-d634-48d2-be25-3895ff3d0868,0
5b4ac006-85c7-4d8a-9588-69f61aa19d96,0
5b4ab71b-57c7-4dcd-9747-90b48d1f58e6,0
5b4ac469-2a82-44c1-9814-9425d7ea497e,0
5b4ac019-7c47-4ab1-ae16-576945ef96a5,0
5b4ac555-539b-484d-967f-4531b84d3b83,0
5b4ac7ac-135f-4cf8-a889-fa66027b17f1,0
5b4acf98-6a03-4c34-9e5c-0b55320128ef,0
5b4ad346-bafe-44aa-af93-3e144e69b8e9,0
5b4ad08e-f75f-47b2-9ba6-5dd79623a574,0
5b4adee6-50b4-4d7e-985e-5166ac4f2fe1,0
5b4aeeb7-61e8-49eb-ae0e-097fe8f7e77d,0
5b4b02a3-3f56-455a-9130-c299a28f694d,0
5b4b0b4c-46c0-4045-b259-2d0af1bac2bd,0
5b4ad0ab-97a6-4029-83ff-769aa776042c,0
5b4b42c9-129b-402a-a03e-2ef2389d4abd,0
5b4b58bc-db8e-4ebd-b86a-4a985a4c659a,0
